ID	Verbatim
2366	Unhappy with costs for service
2367	I got the necessary information I needed.
2368	EASE OF ACCESS.
2369	I was able to do what I need to get done
2370	I got online quickly and found info I needed
2371	Read it all, sent all the messages I needed to and then played a game. 
2372	I read my email & went offline.  No problems.
2373	no problems, did not get kicked off
2374	everything worked
2375	may not be able to afford it
2376	Access to the desired site was quick, easy, and uninterrupted
2377	Didn't get disconnected
2378	Nothing went wrong asnd nobody asked whether I wanted to stay on line. I know when I do and do not want to stay on line.
2379	i got the help i needed
2380	IT WAS EASY.
2381	I didn't have a ton of junk, porno and other annoying emails to delete. 
2382	because i was able to access the web page quickly and without any problems
2383	All ABCD features worked as advertized.
2384	I know how to use it .
2385	It is very easy to use
2386	The connection failed on 2 different access numbers and then could not reconnect and booted me off. Also, the welcome screen takes too long to load.
2387	The overall service has continue to slip during the past year. Also, the pop-up ads and overall commercials take up way too much space on ABCD sites. There is also no way that for as much as they charge, that the consumer is getting the value for the price.
2388	It was trouble free. I got on right away.
2389	Just enjoy being online with ABCD.
2390	I was able to complete what a wanted to do/
2391	I was on to just check mail and chat with a friend and I had no spam email
2392	Nothing went wrong. LOL
2393	talk to friends
2394	i really like ABCD alot, but the price is too high and the pop ups are very annoying and too many unsolicated emails
2395	I got on line!
2396	it costs to much!
2397	i got my email, and checked some news and the weather.
2398	cost
2399	got my info i wanted
2400	its easy simple fast
2401	I was able to find what I was looking for.
2402	"Hard question to answer;  did not notice any problems and things came up as expected"
2403	 It had no glitches.
2404	I have cable and don't need ABCD!
2405	constantly got disconnected or lost connection
2406	budget at this time would not allow me to keep the service
2407	Received the information I was seeking with littlew effort.
2408	I had no trouble getting connected.  I always have to sign on at least twice before it will let me stay connected.
2409	GOOD HELP
2410	price lousy email controls
2411	it is easy to use and find the info you are looking for
2412	The expedience of planning a trip.
2413	things keep popping up on my screen
2414	Fast as ussual. Easy to get around.
2415	fast, easy, and access numbers work every time
2416	monthly payment
2417	Because I got back online after MAJOR problems for a few days.
2418	COST
2419	THE WOMA I SPOKE WITH WAS VERY KIND AND THERE ARE NOT MANY PEOPLE OUT THERE ON THE OTHER END OF THE PHONE WITHOUT ATTITUDES,BECAUSE THEY FIGURE YOU DON'T KNOW WHO'S ON THE OTHER END OF THE PHONE AND HAVE NO WAY OF GETTING A HOLD OF A BOSS OR SOMEONE IN CHARGE
2420	When everything works well, works quickly and there's no junk mail--I'm happy.
2421	got the info I needed
2422	cost to much. i dont like all the pop ups
2423	i really wasnt dissatisfied
2424	my ABCD keeps freezing up
2425	no trouble getting on, and the unspin was completed
2426	did have much problem getting on like. I was also able to finish my class work 
2427	ABCD is easy to use and works great
2428	My only complaint is with the spam that I get. I appreciate the efforts to control that.  Other than that I am quite satisfied with the service.
2429	easy on..........get to do my searching fast, helps me with so much information that I use every day at the tip of my fingers!
2430	got to my email fast
2431	i dont know
2432	FOUND THE INFO THAT I WAS LOOKING FOR WITH NO PROBLEMS
2433	no problems
2434	Easy to look up anything I'am looking for
2435	It didnt disconnet me
2436	Moved along just fine.
2437	quick, easy access
2438	NO problems.
2439	I can always find web sites for the information I am looking for.
2440	I really dislike the pop-up advertisements that appear when I am trying to get onto the internet. Plus too many popup ads in general.
2441	dI was trying to access a travel website and for once I did not have a pop up ad. A miracle. 
2442	i was able to sign no
2443	Everything is easy
2444	cut me off
2445	I was able to complete my tasks quickly.
2446	I was able to find the information I was looking for, and I could easily access my e-mail messages.
2447	Because I didn't get knocked off and it seamed pretty fast.
2448	I could log on easily
2449	Another internet service provider has moved into my area and has features such as those found on ABCD.  There services are advertised at a lower monthly subscription price than the unlimited ABCD service of $23.90.
2450	I was not only satisifed with my LAST visit, but most of my visit to ABCD.  ABCD has easy acess to information when you need it.  I think that is probably the reason why I am most satisfied with ABCD.
2451	I was finally able to get on and did not get a busy signal
2452	Nothing bad happened
2453	no problems 
2454	Explainned  how tthe problem could be  fix and did it,
2455	It came in fast for a change, not a usual happening
2456	Everything went as expected. No problems Quick to get online. 
2457	very inforative
2458	easy access, easy to use,
2459	No Comment
2460	ABCD is very expensive. I cannot afford it.
2461	I did everything I needed to do while I was online.
2462	Finally everything worked properly with no errors.Things were running smooth for a change.
2463	It is too expensive and customer service phone numbers are almost impossible to locate and the customer service reps are not very friendly.
2464	"Price keeps going up.  I am often disconnected or find it hard to connect. Programs keep changing-- I was hoping to get free ABCD once in a while but my ""miles"" disappeared.  When I try to get help I get longlong  emails that confuse me instead of solve the problems."
2465	i did what i needed to do and had no problems
2466	received the answer i wanted.
2467	Easy to move about on line
2468	I seem to get all that that I need or am looking for. ABCD people are very helpful.
2469	ABCD did noty shut down while on line. Information needed was received.
2470	Computer is going to the pawn shop.
2471	New beta build!
2472	yes i was
2473	I had no problems.
2474	i was able to to get to the sites i needed quickly, without being disconnected
2475	too many pop ups when i sign on
2476	Able to sign on quickly and from out of town location.
2477	EVERYTHING WORK GREAT
2478	I was able to receive my mail andanswer quickly
2479	It worked, I didn't have any issues with signing on, I was able to check my mail
2480	It was easy and quick to sign on 
2481	Ease of use. Found what I was looking for in a timely manner.
2482	I will possibly be changing to high speed service through my cable company.
2483	Signing on line is with great ease.  Today, I had the opportunity to block pop-ups.  ABCD offered me the opportunity to download a program to stop all pop-ups.  I am very pleased with the outcome, as well as, the new version of 2.3 which added more features than I anticipated..eg.  the Report spam button.  
2484	Easy to use
2485	i get the news before the tv.
2486	Getting cut off line.
2487	I got high speed cable and now I don't get kicked off and it was faster getting online
2488	I was able to log on with a decent internet speed connection and get the information that I needed to download easily.
2489	I was satisfied with my last visit to ABCD because, as like every other time I sign online: 1) I was connected to the internet quickly. 2) I had just spoken to Ted in Billing, and he solved a problem for me.
2490	I got courteous replies, offers were made that I was not aware of, more information was given to me than I knew existed in the ABCD network.  The staff was patient, helpful and very informative.
2491	Everything worked as it should. No hassles. No delays
2492	Easy to use, quick connection
2493	ease, speed 
2494	Easy to locate what I needed.
2495	new web pages 
2496	Pop ups are all over the place. The Match Chat function interupts while you are in an IM or typing a mail, the level of unwanted pornography you are sent by simply being online, the poor ability to connect with ABCD and their outdated dial ups and the frequency of being booted each time online has gotten much higher. 
2497	easy on and off no brainer to use simple
2498	was able to remove spam a wonderful tool,very satisfied with service
2499	I accomplished my objectives.
2500	it shows all information i need.
2501	I was abble to get the information I needed.
2502	it's much easier to use than most internet services for me and my kids.
2503	System response doesn't help when the system is down.
2504	good content, features, etc
2505	able to gather information on subject of interest
2506	I enjoy the frequent upgrades that become available
2507	found what i needed to find
2508	It took more then 20 mins to get online and once on, I was booted off within 10 mins and not able to get back.
2509	the amount of time it takes to get online every time I attempt to log on, and the fact I am booted offline often while logged on.
2510	No reason
2511	All the pop ups from ABCD. I thought I read a month ago in the newspaper that ABCD was stopping the pop ups but I get more than ever.
2512	easy to get my email and play slingo
2513	didn't have any problems connecting - like the headline news - site is easy to navigate
2514	the customer service person, was nice and walked me through the problem
2515	Well i found what i was looking for
2516	No particular reason.
2517	I was able to get the information I wanted in a very short time with no problem.
2518	expense
2519	quick- easy
2520	cost
2521	fast connection
2522	I am a snowbird..will resign up in 11/2003
2523	good service.. easy to use
2524	ABCD INDICATED SPAM WAS BEING REDUCED.
2525	i got done all that i needed to do in little time and effort
2526	easy to use  was a little slow this am though
2527	it is very easy to use.
2528	somewhat because of the pop ups and daughter is being booted off line for no reason alot lately.
2529	No particular reason
2530	i am able to check email from work.. and i do that alot, and i like that
2531	I like ABCD.  I wish it were cheaper, but it's a good service.  I've seen the cheaper and it was a pain in the neck.
2532	no paticular reason i use it daily
2533	Got online did what I wanted and got off. No delays
2534	The news notified me of a very happy event
2535	I got the information I needed
2536	Too many pop-ups, junk-mail
2537	i was satisfied because no problems occured 
2538	Sending email was very slow.  Took 5 minutes or more per message sent to get the your mail has been sent message
2539	i was able to conduct my business in a timely manner
2540	The use of ABCD is easy
2541	ABCD is so easy to use and I can access it from work, which is nice since there are times I am expecting an email from certain people.
2542	My curser wasn't disappearing like it was doing the last week or two
2543	no problems
2544	it was fun 
2545	it takes too long to log on. i get knocked off frequently.
2546	I obtained all the information I needed
2547	I'm usualy on ABCD for a reason to find something and ABCD gets me there fast.
2548	I just checked the weather.
2549	Price
2550	It loaded relatively quickly.
2551	YEP
2552	Because ABCD helps make what you are looking for extremely easy.
2553	Easy to get what I needed to get.
2554	Less porn and spam mail
2555	Cost excessive and SPAM
2556	SPAM
2557	expensive
2558	informative
2559	Ease of use and I got exactly what I came to see.
2560	problems with connection. to try another company
2561	Pc was running very very slowly and was locking up.
2562	MONEY COST
2563	I HAD NO PROBLEM FINDING EVERYTHING I WAS LOOKING FOR AND ABCD KEYWORDS WORKS WONDERS . I NEVER HAVE A PROBLEM WITH ABCD.
2564	Everything I used performed as I expected it to.
2565	I finally got online after about 10 minutes yesterday.
2566	It takes me too long to get online.  It will sometimes take me 30 minutes to get online.
2567	Just went into email which always simple
2568	pROMPT ATTENTION AND RESPONSE
2569	I was able to talk to my family and friends
2570	had connection problems with 2 phone numbers
2571	In the middle of my job search, an error occured and wouldn't let me go any further without manually shutting off my computer.
2572	delay in responding
2573	went smoothly
2574	easy to use
2575	The logon was quick, my mail box opened quick with no hassle and the curent events was shown on the first windo.
2576	all went well
2577	I only was on line to check my mail.
2578	saw you were trying to limit pop ups
2579	CONSTANTLY being disconnected, SPAM and porn IM's
2580	SPAM and porn IM's
2581	Too much JUNK mail...no way to get rid of it w/o stopping all mail
2582	Was very quick and it didn't knock me off like it does sometimes.  I just didn't have any problems on my last visit.
2583	Because I was able to get on quickly and find the things I was looking for without trouble.
2584	i e-mailed friends with no problem
2585	"nothing unususal happened......I pay for ABCD just for the profiles, keywords and member directory (basicaly just convenience) and nothing make me more mad then when i log on and my Buddy list WONT EVEN COME UP!! I called you guys basicaly said ""oops sorry about that"""
2586	I got tech support and they whipped out internet call manager bonzi buddy scanner and know I must down load all back in
2587	I was able to locate a file downloaded the day before. I checked my e-mail and was able to block SPAM. I was ale to update my virus software via the connection to the Internet.
2588	Speed and server interuptions and cost.
2589	every thing ran quick and smooth
2590	I had gotten one free month of ABCD
2591	fianances
2592	I JUST LIKE IT.
2593	No problems
2594	I got a good connection an the webcast i was watching was pretty clear.
2595	Ease of use.
2596	I don't know
2597	ease of e-mail
2598	always easy to find what I am looking for, dial up always connects the first time for me during the day
2599	I am kicked off-line alot
2600	I was kicked off
2601	I got online quickly and found what I was looking for quickly.
2602	No problems, I completed what I wanted to accomplish
2603	I could get open certain web sites whereas I couldn't earlier.
2604	For some reason I was able to get on line real quick!
2605	got through to many sites
2606	had no problems getting in and did not get disconnected
2607	no problems
2608	Easy connection w/o disconnection throughout the entire visit.  
2609	didnt get disconnected.
2610	Price is to high..... We keep getting bumped off ....even with cable !
2611	keep getting bumped off...Even with cable !
2612	I LOVE ABCD
2613	there were no problems
2614	ABCD 2.3 would not let me get on line and kept bouncing me back to the log in.  I removed it and went back to 2.5
2615	simplicity of service
2616	i DID WHAT i WANTED TO AND GOT OFF.
2617	lOOSE CONNECTION WHILE ONLINE.
2618	services where as expected
2619	MONTHLY PAYMENT HIGH COMPARE WITH OTHER SERVICES
2620	The monthly fee is too high and I cannot afford it.
2621	i just checked my email, nothing special
2622	PRETTY FAST ACCESS
2623	PRICE
2624	i was able to solve my problem
2625	the cost is too high
2626	prompt e-mail service
2627	because it worked.I was not kicked off for once.
2628	A large photograph I attached to an email was uploaded and sent very quickly.  The recipient said that he got it without any problems, so I was pleased.
2629	To find something less expensive.
2630	always being cut off and the advertisements that pop up when you are in the middle of something.
2631	did not get disconnected
2632	i dont get booted off line like some isp's...i like the games ...the up to date breaking news...there are so many interesting things on the home page..
2633	able to get to the information i wanted to see
2634	NO PROBLEMS
2635	PRICE, SINCE WE HAVE CABLE MODEM
2636	Because it provides me with information I need to know
2637	got the information i wanted in an efficient manner, easy to manuever around the site and find what i'm looking for
2638	I was able to get on-line quickly.
2639	Getting bumped off the server is my #1 complaint.
2640	looking for travel informtion  and could find thins i needed
2641	ABCD is easy to use. I'm used to it and know how to get where I like to go.
2642	Parental controls are not sufficient, my children get X rated mail and I shouldn't get that, let alone my children!! Also, too many pop-up adds....VERY annoying! And the cost is too high. It's ridiculous that it costs $5 more per month if you don't wish to use a credit card!!!
2643	Everything I was searching for was at ease. 
2644	I was able to get online right away.  I did not get kicked off.
2645	i was able to pay bills .
2646	I asked for technical support and was promptly helped.
2647	was able to get on ok and had no problems
2648	My connection was not lost
2649	i enjoyed the news items that are provided in todays news and the sports updates
2650	They fixed the promblem 
2651	i was able to find the information i was looking for easily
2652	Because i found the information i was looking for.
2653	Great connection speeds/ NO Pop-ups
2654	able to get to things I needed to check in a timely manner
2655	I got on fast and was able to get the e mail out fast and I feel it is safe
2656	I was able to get the information that i required.
2657	ABCD is to expensive compare to other companies
2658	I had no problems
2659	I knew where I wanted to go on ABCD, and how to get there.
2660	finances
2661	I checked my mail quickly and signed off...
2662	I was able to get on and do what I needed to do in a timely manner.
2663	It take too long to logon, and when I do get on line it take too long to connect me to web site I am trying to get to.
2664	It took too long to log on.
2665	easy
2666	normal good service
2667	no problems,everything ran smooth
2668	I am so used to ABCD, that I can just go online without any trouble at all.
2669	I can't afford the cost of this internet service.  I will have to go to a service that I can pay 9.95.
2670	didn't get booted or frozen or some such nonsense
2671	fast connection
2672	very easy
2673	no problems getting on
2674	I got through to the people that I instant message with ease.
2675	Because it was fast A easy  to get to my email  easier to find things
2676	there were several web sites that I could not get into.  They should be able to handle the load.  I shouldn't have to try again later.
2677	EVER SINCE 8.O INSTALLED AND THEN UNINSTALLED TWICE MANY PROBLEMS HAVE OCCURED
2678	Ability to locate what I needed
2679	ABCD went smoothly and did not cut me off.   I use to be online daily but now with all the junk mail I get and how slow it can take I have better things to do with my time! 
2680	Im having trouble affording it right now.  Also ABCD has never been slower!!!
2681	Got on, did what i needed to do, and signed off. No problems.
2682	Cost.
2683	I did what I needed and wanted to do.  I have never been dissatisfied with ABCD but there are less expensive options out there.
2684	The computer didn't freeze, and I was able to find what I was looking for.
2685	easy to use and no problems.
2686	THERE WERE NO PROBLEMS
2687	everything is perfect i love ABCD
2688	nothing out of the unusual
2689	The help/explanation I got for my problem was satisfactory.  I could not afford the amount that I was previously paying & the representative suggested other plans/options, including Opinon Place.
2690	No problems at all.  Everything is fine.
2691	fast access an no popups
2692	I was satisfied because of the ability to find out about my local area news quickly and easily.  I also used the weather information for a project my daughter was doing in school.  The information available was Great!
2693	ABCD is very good other than price 
2694	other companies are cheaper
2695	it got me connected to the site where i wanted to go to
2696	I was able to apply for a job on line.
2697	Ease of use and user friendliness.  In addition, the sessions seem to be technically sound.
2698	I found out everything I needed to know
2699	Financial reasons.
2700	Its easy to use and I have a lot of friends and family on ABCD.
2701	di not get booted off. Usually I am in the middle of doing something and I get booted off. that is very frustrating.
2702	no host guides in the rooms... rooms are distracted and arguementive... also aim porno ims come all the time
2703	rooms are not good they are full of arguements and disruption
2704	got info I wanted
2705	the program did not stay connected
2706	It's easy to use ABCD
2707	I have been having numerous problems lately. I get illegal operations all the time.  It makes writing an e-mail impossible and VERY frustrating!!
2708	I was able to read my mail without an illegal operation.
2709	Always enjoy being online and the ABCD format is the most user friendly . . .  
2710	I enjoy the ease of ABCD in finding whatever information I need.
2711	can navigate and find what im looking for easily with ABCD
2712	price
2713	It got us connected to internet with no problems
2714	We will be moving
2715	ALWAYS
2716	had no trouble gettin online.
2717	It was fast and easy
2718	price is to high compared to other Internet services.
2719	was able to do what i needed without any problems.
2720	  GOODD   RESPONSE TIME
2721	got information that I wanted
2722	My visit was brief and I had no problems doing what I wanted to do
2723	because i could easily use the web and retrieving my mail was very easy.
2724	The person I spoke with was very helpful.
2725	ease of use
2726	Able to connect from another browser
2727	I accomplished what I wanted and had no interference with losing the broadband connection or having to deal with a lot of popups.  The extensive junk mail was aggravating.
2728	i found just what i was looking for  
2729	Because I was not disconnected in the middle of my connection.
2730	website gave me useful literature information
2731	Because the auto reconnect somehow dialed 911 after I lost my connection for the 7th time that night, and the Police showed up at my door!
2732	I could stay on line longer with out getting kick off and that was nice
2733	ABCD is very easy to get around..
2734	I think the new pop up stopper will be a good product.
2735	ease of use
2736	I just upgraded to 2.3 and downloade your new pop-up software.  I love the new backgraounds and sounds also.
2737	ABCD MAKES SURRING THE WEB EASY AND FUN
2738	had no problems 
2739	i  can get to all my spots easy
2740	i was told about a 2 month credit, i never got it
2741	nothing
2742	Due to a layoff in June.
2743	Today it was easy to log on.
2744	came right on the screen, did noy have to retry over and over
2745	good experience
2746	"I experienced none of the problems that I had encountered the past week; mainly a flashing chatroom"
2747	I got on line a little faster
2748	no pop ups this time and was able to log off without pop ups
2749	Because I was able to visit the sights I wanted to
2750	ABCD is easy to use and a real good resource.
2751	Everything went well-no being disconnected
2752	They anwered my problem right away.
2753	price, connection problems always slow and get bumped off alot
2754	Easy to look at mt email.
2755	I have been laid off since October 2002.
2756	ABCD let me do what I wanted
2757	ABCD didnt freeze up one time. normally it does and i have to do a manual shut down and reboot
2758	huge lack of communication on ABCD's part. there is always an issue with my account
2759	I HAD A HARD TIME GOING WHERE I WANTED TO.
2760	WAY TOO EXPENSIVE
2761	Because everything ran smoothly
2762	  I was able to visit various websites without any service interuptions. I did what I set out to do.
2763	No problems
2764	Easy-to-use interface.  Spam is blocked effectively through mail controls.
2765	MY ONLINE EXPERIENCE ARE USUALLY INFORMATIVE & FUN
2766	Able to get on right away. Fast access to info.
2767	dissatisfaction
2768	I got on right away.
2769	Getting kicked off line, My ability to send e-mail, and freezing screen
2770	Just very fast and easy to access the information without any hassels.
2771	its just easy to use ,and i enjoy the broard band news and stuff,ive had XXVD and it stinks
2772	I was able to sign on with the first call, I didn't get kicked off while I was online even though I was on for quite a while, read my email without any problems, and used my favorite places to get where I wanted to quickly (I take an online college course).
2773	i hada nice timeon lne and was ble to findinfo i needed for school
2774	I was able to use ABCD as I wanted to. Did not get bumped off.
2775	they were attentive to our problem
2776	I was able to accomplish what I wanted to do and did not have any trouble connecting.
2777	I found what I was browsing for
2778	ease of use...got done what i needed to do
2779	simple use of favorites to visit desired sites without a lot of address typing
2780	found all the info that i wanted
2781	I needed customer service and they were helpful and no pop up ads came and inturupted me.  
2782	the news report was good
2783	I got through in record time because of the ABCD pop up stopper.  I've only had it about 2 days & it works perfectly.  I am exetremely pleased with it.
2784	curtious service,patience,and understood fully how to fix my problem.
2785	ease of use and ABCD 2.3 is the best program yet!!
2786	cable optimum online
2787	easy on, found what I wanted
2788	because I was able to find the information that I needed
2789	too expensive.
2790	I was able to read the newspaper and check my mail with ease and no distractions.
2791	There were no disconnections, and I applied on line for a much needed job.
2792	The way of dealing with unwanted mail
2793	cost
2794	oper vy plsnt
2795	Very easy to use...can find things easily.
2796	information is easily available
2797	got on line very easy
2798	i did what i needed to do it was easy no interuptions
2799	had no problems getting to sites
2800	email
2801	prices
2802	I had no problem getting on to do what I was going to do
2803	pop-up
2804	HAD NO PROBLEMS
2805	I like the up to date news. 
2806	spam
2807	It is getting slower and it makes very hard to access some other browsers, when there is a need for it
2808	"Since I have been used another service, I don't have to ""deal"" with the problems as much I had before, when ABCD was my only provider."
2809	I found what I needed real fast. It's easy to get around on ABCD.
2810	I was checking mail from work.  Also I am able to use the SPAM button for unwanted emails.  I don't have this feature at home.  Mac 2.0 user
2811	moving. would like a faster connection
2812	Everything went smoothly.
2813	It did everything I wanted it to do.
2814	I had no problems with access or connecting to  websites.
2815	I easily accomplished what I had intended to.
2816	Constantly getting kicked off line, everytime within the first 2 minutes of signing on, then it reconnects, and kicks me off line again within 5 minutes, and then at random times within the first hour on line. I have tried to get this ABCD problem fixed, but no one there gives a shit!
2817	Got kicked off line and reconnected 8 times in one hour
2818	i just checked my mail so i was on and off very quickly
2819	Too high of cost per month.
2820	NO POP UPS
2821	I was attempting to get live support as followup to telephone billing contact re: ABCD BILLING RE USE OF ABCD cOMMUNICATOR in which I was told that because the product was new I'd have to speak to Support Services but was disconnected rather than transferrred, then told they were busy so would have to call back. So when trying to connect to LIVE Support I entered my information four times and after submitting it was informed the page was unavailable
2822	didn't get thrown off
2823	I completed what I set out to do in the least amount of time
2824	All went well and no pop ups.
2825	I don't think i will.
2826	i could not download anything the page was empty and at the bottom it said the download was done it was very fustrating experience and i had to sign off without getting the info i needed
2827	i do not use the internet too often but when i do sometimes the connection does not work or last time i could not download the sites i needed to visit
2828	Most of the emails I received had the embedded images.  There were a number of emails where the window popped up and said that ABCD couldn't display embedded images.
2829	less time to get online
2830	Everything went perfectly
2831	ABCD's monthly premium is too high in today's market.  Also, ABCD does not seem to value long term customers.  I just want a better premium.
2832	everything worked as expected, including quick log on
2833	no problems viewing what i wanted
2834	Cost
2835	Easy to use to search the web and view buddy list 
2836	I'm satisfied when I can excess any site without computer lock up and no delay when logging off.
2837	everything worked
2838	speed and tying up phone lines
2839	wasn't all that satisfied took to long
2840	Everything went smoothly.  
2841	I was looking up a very hard search object and ABCD gave me great listings.
2842	I didn't get booted off and things loaded quickly.  The same good service as always.
2843	cost too high
2844	no problems
2845	cost, junk mail and pop ups
2846	pop ups and spam - connectivity
2847	satisfied with ABCD 2.3
2848	Ability to stay connected
2849	the speed was fine.
2850	money
2851	I have experienced more satisfaction with XXVD than with ABCD
2852	I was using a search engine and could not find what I was looking for
2853	I was able to loacte what I was looking for fast and easy
2854	THE COST
2855	better price  no lost connections
2856	lost connections 3 times while reading news fox 
2857	stayed on line without being cut off, nothing froze and was able to navigate sites easily
2858	I was able to get On.line quickly
2859	I was able to find all areas of interest and download with ease.
2860	unlimited usage
2861	because
2862	Could access informatiom and get off quickly
2863	Not available in the area we will be in.
2864	Higher monthly fee than some other dial-up ISPs
2865	Logged in OK.  Got info needed from the Web.
2866	Very easy to use 
2867	everything worked well
2868	connected quickly and got were I wanted to go
2869	I got right on with no problems
2870	I like the new features of ABCD 2.3.
2871	I enjoy ABCD
2872	I have high speed internet access at home. But when I connect at work, I have to do it thru dial-up, and the system is so slow, it takes for ever to load pages and sometimes it doesn't even load at all. I called ABCD to report it and they suggested me to call tech support. I havent' done it yet, but I will as soon as I can
2873	My questions were answered timely and with the upmost knowledge in there position.
2874	didn't get disconnected again
2875	NO PROBLEMS
2876	I pay 12.95 and only get 20 hours online. That is more than half of what it costs for a full month of unlimited service. There is 720 hours in a month. Half of that is 340 hours in half a month. I should be getting 340 hours not 20.You are penalizing people who can't afford the $24.00 a month or don't use the web that much.
2877	I wasn't disconnected and didn't have to wait for too long.
2878	My husband does not like it at all.
2879	Had absolutely no problems, all areas i visited were available
2880	just checked my e-mail-no delays logging on
2881	i was able to get online, find what i needed, and get off within a relatively short period of time.
2882	i was able to long on at a friends house to check my mail
2883	No problems, no bump-offs... reasonably quick access to mail and internet
2884	I use ABCD mostly for email and the ABCD E-Mail is so easy compared to other programs I have used.
2885	i dont understand why my bill was so much and i have been very upset
2886	double billing
2887	Satisfied due to the fact that my service does not cut me off while i'm in the internet.
2888	I did not know about the games and now I do.  It was fun.
2889	It is easy to use and I am set up with the things I am looking for.
2890	Erratic service, line drops, error messages that mean nothing, service very slow at times.  Tried to correct problems (not of my making!) with Buddy List this morning and couldn't get that function to work ...
2891	Found duplicates on my Buddy List, don't know why they were there (Family2, Buddies2, etc.) -- tried to access Buddy List from People drop down menu to remove them and couldn't access.  Tried a number of times ...
2892	ABCD is quick and easy to use.  I love the quickness and it is easy to navigate and find what I need on the net as well as within ABCD itself.  
2893	Good Service, easy to use
2894	logged on quickly and logged off quickly
2895	IT WAS FAST AND COMPELET, WITH WHAT I HAD TO DO.
2896	Cost of service and my availability to finally connect through my cable company
2897	connected quickly and was able to do what i needed to do
2898	because the rate is too high!!! I have EFGH ISP and it is way too expensive. The price is only a few dollars less than the regular service.
2899	there is no reason to be dissatisfied  with my visits to ABCD it is the PRICE that I am not happy with.
2900	EAse of use
2901	i like the new blocking pop up it makes it that much easier to enjoy your sites
2902	there are 2 things that bug me about ABCD one is the support of the ABCD tech. there are times when i need help and they don't give good professional help. i was told by a tech to delete a file and that file was not to be deleted. so i wish they would have better traing. maybe you can come up with a system where we get live help from a tech and beside there name is a symbol or a # telling there rank as a tech. like a 1 would mean very skillfull and a 4 would mean just a starter so if the problem is server then we can ask for a better tech. you get the idea the other thing is the price of ABCD i wish it was lower thats why i been looking at other internet services because of thr price now that we have to pay more for gas.
2903	had no problems
2904	   nurmal
2905	Easy to use
2906	great news updates
2907	not satisfied
2908	takes to long to go from window to window
2909	IT DID WHAT I WANTED IT TO DO  ..YES
2910	Getting online is quick and easy. I don't get bumped offline. I can easily find what I need to find with  keywords and ABCD search. ABCD is very easy to use.
2911	I got online very quickly did not have to wait long at all.
2912	I had no problems
2913	"I get cut off for no apparent reason, every single time I am ""on-line"" and it is very frustrating!!!!!!"
2914	I was cut off and it is frustrating
2915	I live on a limited income so I have been contemplating a more reasonable server. I have stayed with ABCD because in the past they have been kind to me and gave me some free time to help me through this tough time in my life. However, I am still in the same boat, so not sure how much longer I will be on line with ABCD or anyone for that matter.
2916	I LIKE TO TALK TO MY FRIENDS ON LINE
2917	A LOT OF MONEY MONTHLY
2918	news covers local, state and federal daily.  
2919	No problems logging on, or getting to different web sites.
2920	I didnt have any problems
2921	When I'm dialing up it is always busy. It takes me up to 6 minutes to get online.
2922	i was not kicked out, and websites were not too slow
2923	price is too much
2924	It is very easy to get connected without a long waiting period.
2925	Ease of going on line and getting the information I wanted.
2926	cause ABCD was up and did not have to log on 
2927	nothing unexectd happend.
2928	checked email...??
2929	cost
2930	cost, my computer is not responding to updates, i have to run ABCD with version 2.5.  Or it won't connect.  Must not be compatible.
2931	Extremely easy to find sites or products I am looking for. I truly appreciate the SPAM button. We receive too much porno or suggestive email. They can send to us but I cannot reply. They should not be able to email me if I cannot reply.
2932	I was looking for information and I was able to access the website without any problems.
2933	I found what I was looking for...prom dresses AND got Email from Grandson!!!!
2934	ABCD is very fast and I didn't get any pop up ads
2935	Everything Worked!
2936	Could find what I was looking for on the internet
2937	Did not get disconnected like we have in the past.
2938	No Comment
2939	i keep getting knocked off line it sometimes takes 3 or 4 tries to get on line just this time it took 3 tries at step 7 before i got on
2940	I don't know
2941	i found all the information that i needed.
2942	i got everything i needed in no time at all
2943	ABCD is very easy to use & the new pop-up blocker & spam remover adds to the pleasure of being on the internet.
2944	N/A
2945	I don't use it as much as I used to, so the value isn't as good as it used to be.
2946	Quick access
2947	ABCD gives ma what i want without the hassel, it finds what i'm look for quickly
2948	Overall the visit was OK except when I tried to get into Opinion Place it stalled so I shut down my computer and tried later (now).
2949	easy to use
2950	why not?
2951	I was logged on easily and navigation was fast.
2952	I noticed my new Blocking Pop-ups had worked AND I was able to quickly get my email and check auctions
2953	ABCD is always easy to navigate and it is a very nice experience
2954	Got what I wanted done quickly
2955	I got things done that I needed to get completed 
2956	ALL WHEN WELL
2957	I was able to check my email.
2958	Everything seemed to go well.Got on line easy.
2959	I am alway able to reach the sight I try to reach.
2960	The access capability was good. 
2961	it was easy to find information i needed
2962	I could read all my email and go to the sites I visit easily.  The service was slow this morning.
2963	it kept me up to date with Bush's decision.
2964	No problems occurred
2965	easy log on.  no technical difficulties
2966	connection speed
2967	"Because I am able to get at out I want to see easily and fast. Also if something is online that I want to get more details on I can drop it into ""my favorite places"" and go back to it later very easily."
2968	I found out what I wanted to know.
2969	Too much advertising. The screen is too full.
2970	As usual I was able to get where I wanted to go and complete my objective with ease.
2971	Ease of use.  I know my way around the ABCD menu and have no problems viewing what I want.
2972	Everything was fine, 
2973	Billing dept is very unconcerned about customer satisfaction. The last time I called billing I waited for a very long period of time.  When they could not help me they transferred to another section of customer service where I waited for an equally long time.  After spending nearly an hour trying to solve me problem, I finally gave up from fatigue and frustration.  I still have the same problem I called billing with originally.
